Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
11564,2025-12-16 09:47:13,"0,001",0,"0,33","0,35","0,32",0,"16,72",0,0,0,STOP
12631,2025-12-16 09:47:14,"0,002",0,"0,34","0,34","0,31",0,"16,72",0,0,0,STOP
13697,2025-12-16 09:47:15,0,0,"0,34","0,36","0,32",0,"16,72",0,0,0,STOP
14764,2025-12-16 09:47:16,"0,002",0,"0,34","0,36","0,33",0,"16,72",0,0,0,STOP
15734,2025-12-16 09:47:17,"0,002",0,"0,33","0,34","0,35",0,"16,72",0,0,0,STOP
16703,2025-12-16 09:47:18,"0,002",0,"0,32","0,35","0,33",0,"16,72",0,0,0,STOP
17770,2025-12-16 09:47:19,"0,002",0,"0,35","0,36","0,32",0,"16,72",0,0,0,STOP
18740,2025-12-16 09:47:20,"0,002",0,"0,31","0,34","0,31",0,"16,72",0,0,0,STOP
19710,2025-12-16 09:47:21,"0,001",0,"0,3","0,36","0,35",0,"16,72",0,0,0,STOP
20678,2025-12-16 09:47:22,"0,001","0,001","0,33","0,35","0,36",0,"16,72",0,0,0,STOP
21649,2025-12-16 09:47:23,"0,002",0,"0,31","0,35","0,34",0,"16,72",0,0,0,STOP
22619,2025-12-16 09:47:24,"0,001",0,"0,35","0,35","0,33",0,"16,72",0,0,0,STOP
23587,2025-12-16 09:47:25,"0,001",0,"0,32","0,34","0,34",0,"16,72",0,0,0,STOP
24557,2025-12-16 09:47:26,0,"0,001","0,32","0,33","0,35",0,"16,72",0,0,0,STOP
25526,2025-12-16 09:47:27,"-0,001",0,"0,31","0,33","0,33",0,"16,72",0,0,0,STOP
26496,2025-12-16 09:47:27,0,0,"0,34","0,35","0,31",0,"16,72",0,0,0,STOP
27563,2025-12-16 09:47:29,"0,001",0,"0,34","0,32","0,32",0,"16,72",0,0,0,STOP
28532,2025-12-16 09:47:30,"-0,001",0,"0,32","0,36","0,32",0,"16,72",0,0,0,STOP
29502,2025-12-16 09:47:30,"0,001",0,"0,31","0,34","0,34",0,"16,72",0,0,0,STOP
30471,2025-12-16 09:47:31,"0,001",0,"0,31","0,33","0,33",0,"16,72",0,0,0,STOP
31441,2025-12-16 09:47:32,0,0,"0,34","0,32","0,33",0,"16,72",0,0,0,STOP
32411,2025-12-16 09:47:33,"-0,001",0,"0,34","0,34","0,31",0,"16,72",0,0,0,STOP
33380,2025-12-16 09:47:34,"0,001",0,"0,36","0,33","0,34",0,"16,72",0,0,0,STOP
34350,2025-12-16 09:47:35,0,0,"0,34","0,33","0,34",0,"16,72",0,0,0,STOP
35319,2025-12-16 09:47:36,0,0,"0,31","0,33","0,34",0,"16,72",0,0,0,STOP
36288,2025-12-16 09:47:37,"0,003",0,"0,34","0,37","0,32",0,"16,72",0,0,0,STOP
37354,2025-12-16 09:47:38,"0,001",0,"0,33","0,33","0,32",0,"16,72",0,0,0,STOP
38323,2025-12-16 09:47:39,"0,001","0,001","0,36","0,38","0,36",0,"16,72",0,0,0,STOP
39293,2025-12-16 09:47:40,"0,001","-0,001","0,33","0,36","0,32",0,"16,72",0,0,0,STOP
40262,2025-12-16 09:47:41,0,0,"0,34","0,35","0,31",0,"16,72",0,0,0,STOP
41231,2025-12-16 09:47:42,0,0,"0,35","0,33","0,3",0,"16,72",0,0,0,STOP
42201,2025-12-16 09:47:43,"0,002",0,"0,33","0,35","0,32",0,"16,72",0,0,0,STOP
43267,2025-12-16 09:47:44,"0,002","-0,001","0,35","0,36","0,36",0,"16,72",0,0,0,STOP
44236,2025-12-16 09:47:45,"0,002",0,"0,34","0,35","0,33",0,"16,72",0,0,0,STOP
45206,2025-12-16 09:47:46,"0,002",0,"0,33","0,34","0,33",0,"16,72",0,0,0,STOP
46175,2025-12-16 09:47:47,"0,003",0,"0,33","0,36","0,33",0,"16,72",0,0,0,STOP
47145,2025-12-16 09:47:48,"0,001",0,"0,35","0,34","0,34",0,"16,72",0,0,0,STOP
48113,2025-12-16 09:47:49,"0,002","-0,001","0,34","0,34","0,32",0,"16,72",0,0,0,STOP
49082,2025-12-16 09:47:50,"0,002","-0,001","0,34","0,34","0,34",0,"16,72",0,0,0,STOP
50149,2025-12-16 09:47:51,"0,002","-0,001","0,33","0,36","0,35",0,"16,72",0,0,0,STOP
51119,2025-12-16 09:47:52,"0,002","-0,001","0,33","0,34","0,31",0,"16,72",0,0,0,STOP
52087,2025-12-16 09:47:53,"0,002","-0,001","0,37","0,34","0,32",0,"16,72",0,0,0,STOP
53057,2025-12-16 09:47:54,"0,002","-0,001","0,33","0,35","0,36",0,"16,72",0,0,0,STOP
54027,2025-12-16 09:47:55,"0,002",0,"0,33","0,31","0,34",0,"16,72",0,0,0,STOP
54995,2025-12-16 09:47:56,"0,001","-0,001","0,36","0,33","0,35",0,"16,72",0,0,0,STOP
56063,2025-12-16 09:47:57,"0,001",0,"0,35","0,32","0,33","-0,32","16,72",0,0,0,STOP
57032,2025-12-16 09:47:58,"0,001",0,"0,35","0,33","0,34",0,"16,72",0,0,0,STOP
58197,2025-12-16 09:47:59,"0,001",0,"0,34","0,32","0,36",0,"16,72",0,0,0,STOP
59166,2025-12-16 09:48:00,"0,001",0,"0,33","0,34","0,34","-0,3","16,72",0,0,0,STOP
60135,2025-12-16 09:48:01,"0,001",0,"0,37","0,34","0,35","-0,32","16,72",0,0,0,STOP
61105,2025-12-16 09:48:02,"0,001",0,"0,3","0,32","0,34","-0,33","16,72",0,0,0,STOP
62074,2025-12-16 09:48:03,"0,001",0,"0,35","0,33","0,32","-0,32","16,72",0,0,0,STOP
63043,2025-12-16 09:48:04,"0,001",0,"0,31","0,31","0,34","-0,32","16,72",0,0,0,STOP
64012,2025-12-16 09:48:05,"0,003",0,"0,33","0,32","0,32","-0,3","16,72",0,0,0,STOP
64982,2025-12-16 09:48:06,"0,001",0,"0,34","0,33","0,33","-0,32","16,72",0,0,0,STOP
65951,2025-12-16 09:48:07,"0,001",0,"0,35","0,34","0,35","-0,35","16,72",0,0,0,STOP
66920,2025-12-16 09:48:08,"0,002",0,"0,34","0,32","0,34","-0,36","16,72",0,0,0,STOP
67889,2025-12-16 09:48:09,0,0,"0,36","0,34","0,33","-0,36","16,72",0,0,0,STOP
68859,2025-12-16 09:48:10,"0,002",0,"0,36","0,32","0,33","-0,35","16,72",0,0,0,STOP
69925,2025-12-16 09:48:11,0,0,"0,36","0,32","0,34","-0,36","16,72",0,0,0,STOP
70894,2025-12-16 09:48:12,"0,001",0,"0,34","0,31","0,33","-0,36","16,72",0,0,0,STOP
71863,2025-12-16 09:48:13,0,"0,001","0,35",0,"0,32","-0,34","16,72",0,0,0,STOP
72832,2025-12-16 09:48:14,0,"0,001","0,37","0,3","0,34","-0,34","16,72",0,0,0,STOP
73802,2025-12-16 09:48:15,0,0,"0,37","0,35","0,35","-0,33","16,72",0,0,0,STOP
74771,2025-12-16 09:48:16,"0,001",0,"0,35","0,36","0,35","-0,37","16,72",0,0,0,STOP
75740,2025-12-16 09:48:17,"0,001",0,"0,34","0,36","0,34",0,"16,72",0,0,0,STOP
76709,2025-12-16 09:48:18,"0,001","0,002","0,33","0,33","0,31",0,"16,71",0,0,0,STOP
77679,2025-12-16 09:48:19,"0,002","0,001","0,34","0,36","0,34",0,"16,72",0,0,0,CALC_DEG
