Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10578,2025-12-12 09:18:54,"0,004",0,0,0,0,0,"16,72",0,"4,3",0,STOP
11548,2025-12-12 09:18:55,"0,003",0,0,0,0,0,"16,71",0,0,0,STOP
12517,2025-12-12 09:18:56,"0,004",0,0,0,0,0,"16,72",0,0,0,STOP
13583,2025-12-12 09:18:57,"0,005",0,0,0,0,0,"16,71",0,0,0,STOP
14553,2025-12-12 09:18:58,"0,004","0,002",0,0,0,0,"16,71",0,0,0,STOP
15522,2025-12-12 09:18:59,"0,004","0,001",0,0,0,0,"16,71",0,0,0,STOP
16491,2025-12-12 09:19:00,"0,006","0,002",0,0,0,"0,74","16,72","12,41",0,0,CALC_DEG
17461,2025-12-12 09:19:01,"0,005",0,0,0,0,"0,43","16,71","7,14",0,0,RAMPA
18430,2025-12-12 09:19:02,"0,004",0,0,0,0,"0,48","16,71",8,0,0,RAMPA
19497,2025-12-12 09:19:03,"0,005",0,0,0,0,"0,39","16,71","6,49",0,1,RAMPA
20466,2025-12-12 09:19:04,"0,004",0,0,0,0,"0,37","16,72","6,1",0,1,RAMPA
21436,2025-12-12 09:19:05,"0,005",0,0,0,0,"0,33","16,71","5,48",0,2,RAMPA
22405,2025-12-12 09:19:06,"0,005",0,0,0,0,0,"16,71",0,0,2,RAMPA
23375,2025-12-12 09:19:07,"0,006",0,0,0,0,0,"16,71",0,0,3,RAMPA
24344,2025-12-12 09:19:08,"0,005",0,0,0,0,0,"16,71",0,0,3,RAMPA
25411,2025-12-12 09:19:09,"0,004",0,0,0,0,0,"16,71",0,0,4,RAMPA
26380,2025-12-12 09:19:10,"0,004",0,0,0,0,0,"16,72",0,0,4,RAMPA
27350,2025-12-12 09:19:11,"0,004",0,0,0,0,0,"16,71",0,0,5,RAMPA
28320,2025-12-12 09:19:12,"0,005",0,0,0,0,0,"16,71",0,0,5,RAMPA
29289,2025-12-12 09:19:13,"0,005",0,0,0,0,0,"16,71",0,0,6,RAMPA
30259,2025-12-12 09:19:14,"0,005",0,0,0,0,0,"16,71",0,0,6,RAMPA
31229,2025-12-12 09:19:15,"0,004","-0,001",0,0,0,0,"16,71",0,0,7,RAMPA
32296,2025-12-12 09:19:16,"0,005",0,0,0,0,0,"16,71",0,0,7,RAMPA
33266,2025-12-12 09:19:17,"0,003","-0,001",0,0,0,0,"16,71",0,0,8,RAMPA
34236,2025-12-12 09:19:18,"0,005",0,0,0,0,0,"16,71",0,0,8,RAMPA
35206,2025-12-12 09:19:19,"0,004",0,0,0,0,0,"16,71",0,0,9,RAMPA
36176,2025-12-12 09:19:20,"0,026","0,008","1,47","1,43","1,49",0,"16,71",0,"552,3",9,RAMPA
37146,2025-12-12 09:19:21,"0,008","0,025","1,49","1,49","1,5",0,"16,7",0,"1020,6",10,RAMPA
38116,2025-12-12 09:19:22,"0,009","0,03","1,46","1,45","1,44",0,"16,7",0,"1122,2",10,PATAMAR_5S
39085,2025-12-12 09:19:23,"0,011","0,032","1,45","1,44","1,44",0,"16,71",0,"1154,4",10,PATAMAR_5S
40151,2025-12-12 09:19:24,"0,009","0,033","1,44","1,42","1,44",0,"16,7",0,"1161,9",10,PATAMAR_5S
41121,2025-12-12 09:19:25,"0,01","0,032","1,45","1,43","1,46",0,"16,7",0,1162,10,CALC_DEG
42090,2025-12-12 09:19:26,"0,011","0,032","1,45","1,41","1,43",0,"16,7",0,"1163,2",10,RAMPA
43060,2025-12-12 09:19:27,"0,01","0,033","1,6","1,57","1,55",0,"16,7",0,"1179,7",10,RAMPA
44029,2025-12-12 09:19:28,"0,015","0,034","1,68","1,63","1,67",0,"16,7",0,"1220,7",11,RAMPA
45096,2025-12-12 09:19:29,"0,016","0,038","1,75","1,72","1,77",0,"16,7",0,"1265,2",11,RAMPA
46065,2025-12-12 09:19:30,"0,018","0,042","1,9","1,87","1,91","0,3","16,7","5,05","1313,6",12,RAMPA
47035,2025-12-12 09:19:31,"0,014","0,047","1,97","1,93","1,97",0,"16,7",0,"1374,1",12,RAMPA
48004,2025-12-12 09:19:31,"0,018","0,049","2,05",2,"2,08",0,"16,7",0,"1410,9",13,RAMPA
48974,2025-12-12 09:19:32,"0,03","0,055","2,21","2,15","2,2",0,"16,7",0,"1453,6",13,RAMPA
49944,2025-12-12 09:19:33,"0,032","0,061","2,3","2,23","2,26","0,3","16,7","5,04","1506,6",14,RAMPA
50914,2025-12-12 09:19:34,"0,032","0,064","2,7","2,62","2,34","0,34","16,69","5,61","1550,8",14,RAMPA
51981,2025-12-12 09:19:35,"0,023","0,067","2,42","2,34","2,47","0,33","16,69","5,55","1602,6",15,RAMPA
52950,2025-12-12 09:19:36,"0,018","0,07","2,53","2,49","2,52","0,34","16,69","5,6","1636,4",15,RAMPA
53920,2025-12-12 09:19:37,"0,015","0,073","2,66","2,65","2,66","0,37","16,69","6,12","1674,5",16,RAMPA
54889,2025-12-12 09:19:38,"0,015","0,077","2,75","2,71","2,74","0,37","16,69","6,19","1720,5",16,RAMPA
55858,2025-12-12 09:19:40,"0,017","0,082","2,89","2,85","2,91","0,42","16,69","7,06","1755,9",17,RAMPA
57024,2025-12-12 09:19:40,"0,02","0,084","2,92","2,92","2,89","0,77","16,69","12,85","1796,8",17,RAMPA
57993,2025-12-12 09:19:41,"0,022","0,088",3,"2,96","2,98","1,52","16,69","25,41","1835,5",18,RAMPA
58963,2025-12-12 09:19:42,"0,023","0,095","3,18","3,12","3,2","0,52","16,68","8,65","1868,9",18,RAMPA
59932,2025-12-12 09:19:43,"0,024","0,101","3,23","3,23","3,23","0,7","16,69","11,61","1906,2",19,RAMPA
60902,2025-12-12 09:19:44,"0,027","0,105","3,4","3,33","3,36","0,84","16,68","13,95","1952,9",19,RAMPA
61871,2025-12-12 09:19:45,"0,033","0,114","3,49","3,46","3,45","0,78","16,68","13,02","1985,8",20,RAMPA
62841,2025-12-12 09:19:46,"0,038","0,118","3,46","3,43","3,44","0,83","16,68","13,81","2001,5",20,PATAMAR_5S
63811,2025-12-12 09:19:47,"0,039","0,118","3,48","3,44","3,43","0,87","16,68","14,43","2005,9",20,PATAMAR_5S
64781,2025-12-12 09:19:48,"0,037","0,118","3,48","3,43","3,46","0,55","16,68","9,22","2005,9",20,PATAMAR_5S
65751,2025-12-12 09:19:49,"0,035","0,119","3,46","3,44","3,44","0,48","16,68","8,06","2005,9",20,CALC_DEG
66721,2025-12-12 09:19:50,"0,033","0,12","3,47","3,43","3,45","0,44","16,68","7,42","2005,9",20,RAMPA
67690,2025-12-12 09:19:51,"0,032","0,121","3,56","3,52","3,54","0,46","16,68","7,59","2016,8",20,RAMPA
68660,2025-12-12 09:19:52,"0,036","0,125","3,72","3,68","3,71","0,5","16,68","8,29","2054,5",21,RAMPA
69630,2025-12-12 09:19:53,"0,039","0,131","3,78","3,75","3,78","0,54","16,68","9,03","2089,8",21,RAMPA
70697,2025-12-12 09:19:54,"0,041","0,136","3,84","3,79","3,87","0,58","16,67","9,68","2116,7",22,RAMPA
71667,2025-12-12 09:19:55,"0,042","0,14","4,01","3,99",4,"0,67","16,67","11,19","2156,1",22,RAMPA
72637,2025-12-12 09:19:56,"0,045","0,146","4,09","4,07","4,1","0,72","16,67","11,97","2191,5",23,RAMPA
73607,2025-12-12 09:19:57,"0,049","0,15","4,25","4,21","4,22","0,79","16,67","13,12","2231,2",23,RAMPA
74576,2025-12-12 09:19:58,"0,05","0,156","4,27","4,26","4,26","0,82","16,66","13,69","2273,3",24,RAMPA
75546,2025-12-12 09:19:59,"0,046","0,162","4,5","4,5","4,47","0,92","16,66","15,4","2301,9",24,RAMPA
76515,2025-12-12 09:20:00,"0,047","0,172","4,59","4,58","4,53","0,98","16,66","16,37","2348,5",25,RAMPA
77582,2025-12-12 09:20:01,"0,048","0,179","4,69","4,61","4,62","1,01","16,66","16,83","2385,9",25,RAMPA
78551,2025-12-12 09:20:02,"0,049","0,185","4,84","4,84","4,82","1,12","16,66","18,67","2423,7",26,RAMPA
79520,2025-12-12 09:20:03,"0,051","0,192","4,9","4,85","4,87","0,97","16,65","16,22","2463,5",26,RAMPA
80490,2025-12-12 09:20:04,"0,051","0,198","4,99","4,96","4,98","1,06","16,65","17,58","2491,9",27,RAMPA
81459,2025-12-12 09:20:05,"0,055","0,206","5,24","5,1","5,19","1,14","16,65","19,02","2534,3",27,RAMPA
82429,2025-12-12 09:20:06,"0,056","0,216","5,33","5,24","5,32","1,22","16,64","20,3","2571,4",28,RAMPA
83495,2025-12-12 09:20:07,"0,061","0,23","5,5","5,43","5,53","1,34","16,64","22,3","2625,3",28,RAMPA
84465,2025-12-12 09:20:08,"0,061","0,237","5,58","5,52","5,56","1,97","16,64","32,72","2659,8",29,RAMPA
85434,2025-12-12 09:20:09,"0,055","0,243","5,73","5,63","5,7","1,76","16,64","29,31","2689,1",29,RAMPA
86404,2025-12-12 09:20:10,"0,057","0,25","5,9","5,85","5,87","1,81","16,63","30,11","2734,9",30,RAMPA
87373,2025-12-12 09:20:11,"0,056","0,254","5,9","5,85","5,89","1,72","16,63","28,69","2755,4",30,PATAMAR_5S
88343,2025-12-12 09:20:12,"0,056","0,251","5,91","5,86","5,93","1,78","16,63","29,65","2752,6",30,PATAMAR_5S
89409,2025-12-12 09:20:13,"0,056","0,253","5,92","5,84","5,88","1,83","16,63","30,35",2754,30,PATAMAR_5S
90379,2025-12-12 09:20:14,"0,057","0,255","5,96","5,83","5,93","1,83","16,63","30,38","2748,2",30,CALC_DEG
91348,2025-12-12 09:20:15,"0,059","0,254","5,93","5,88","5,94","1,77","16,63","29,5",2751,30,RAMPA
92318,2025-12-12 09:20:16,"0,061","0,257","6,02","5,95","5,89","1,83","16,62","30,41","2765,8",30,RAMPA
93287,2025-12-12 09:20:17,"0,062","0,26","6,15","6,17","6,14",2,"16,62","33,31","2804,1",31,RAMPA
94354,2025-12-12 09:20:18,"0,062","0,268","6,25","6,24","6,15","2,01","16,62","33,41","2855,8",31,RAMPA
95323,2025-12-12 09:20:19,"0,066","0,268","6,34","6,36","6,27","2,04","16,62","33,87","2879,3",32,RAMPA
96293,2025-12-12 09:20:20,"0,073","0,273","6,59","6,58","6,55","2,15","16,61","35,78","2924,9",32,RAMPA
97262,2025-12-12 09:20:21,"0,08","0,281","6,76","6,66","6,63","2,27","16,61","37,7","2963,3",33,RAMPA
98232,2025-12-12 09:20:22,"0,095","0,291","6,97","6,97","6,85","2,42","16,6","40,23","3004,4",33,RAMPA
99202,2025-12-12 09:20:23,"0,126","0,309","7,11","7,12","7,11","3,12","16,6","51,74","3044,2",34,RAMPA
100172,2025-12-12 09:20:24,"0,128","0,314","7,15","7,23","7,33","3,19","16,59","52,97","3070,7",34,RAMPA
101336,2025-12-12 09:20:25,"0,128","0,322","7,54","7,41","7,43","2,94","16,59","48,69","3107,5",35,RAMPA
102306,2025-12-12 09:20:26,"0,13","0,336","7,59","7,44","7,59","3,1","16,58","51,44","3150,2",35,RAMPA
103276,2025-12-12 09:20:27,"0,131","0,343","7,62","7,51","7,67","2,93","16,58","48,63","3172,3",36,RAMPA
104246,2025-12-12 09:20:28,"0,132","0,359","7,71","8,59","8,83","3,02","16,57","50,05","3216,5",36,RAMPA
