Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10992,2025-12-12 09:39:08,0,0,0,0,0,0,"15,62",0,0,0,STOP
11961,2025-12-12 09:39:09,"0,002",0,0,0,0,0,"15,62",0,0,0,STOP
12930,2025-12-12 09:39:10,"0,002","0,001",0,0,0,0,"15,62",0,0,0,STOP
13900,2025-12-12 09:39:11,"0,002","0,001",0,0,0,0,"15,62",0,0,0,STOP
14869,2025-12-12 09:39:12,"0,001","0,001",0,0,0,0,"15,62",0,0,0,STOP
15839,2025-12-12 09:39:13,"0,002","0,001",0,0,0,0,"15,62",0,0,0,STOP
16808,2025-12-12 09:39:14,"0,001","0,002",0,0,0,0,"15,62",0,0,0,STOP
17777,2025-12-12 09:39:15,"0,001","0,002",0,0,0,0,"15,62",0,0,0,STOP
18747,2025-12-12 09:39:16,"0,002","0,002",0,0,0,0,"15,62",0,0,0,CALC_DEG
19716,2025-12-12 09:39:17,"-0,001","0,001",0,0,0,0,"15,62",0,0,0,RAMPA
20685,2025-12-12 09:39:18,0,"0,001",0,0,0,0,"15,62",0,0,0,RAMPA
21655,2025-12-12 09:39:19,"0,001","0,001",0,0,0,0,"15,62",0,0,0,RAMPA
22624,2025-12-12 09:39:20,"0,001","0,001",0,0,0,0,"15,62",0,0,1,RAMPA
23593,2025-12-12 09:39:21,"0,001","0,001",0,0,0,0,"15,62",0,0,1,RAMPA
24563,2025-12-12 09:39:22,"-0,001","0,001",0,0,0,0,"15,62",0,0,2,RAMPA
25532,2025-12-12 09:39:22,0,"0,001",0,0,0,0,"15,62",0,0,2,RAMPA
26501,2025-12-12 09:39:23,"0,001","0,001",0,0,0,0,"15,62",0,0,2,RAMPA
27470,2025-12-12 09:39:24,0,"0,001",0,0,0,0,"15,62",0,0,3,RAMPA
28440,2025-12-12 09:39:25,"0,001","0,002",0,0,0,0,"15,62",0,0,3,RAMPA
