Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10767,2025-12-12 16:10:38,"0,004",0,0,0,0,0,"15,86",0,"2,9",0,STOP
11738,2025-12-12 16:10:39,"0,003",0,0,0,0,0,"15,86",0,0,0,STOP
12709,2025-12-12 16:10:40,"0,003",0,0,0,0,0,"15,86",0,0,0,STOP
13679,2025-12-12 16:10:41,"0,002",0,0,0,0,0,"15,86",0,0,0,STOP
14747,2025-12-12 16:10:42,"0,003","0,001","0,52","0,45","0,45","0,59","15,86","9,34",0,0,STOP
15718,2025-12-12 16:10:43,"0,004","0,003","0,38","0,37","0,36","0,68","15,86","10,78",0,0,STOP
16689,2025-12-12 16:10:44,"0,003","0,003","0,48","0,45","0,44","0,42","15,86","6,67",0,0,CALC_DEG
17659,2025-12-12 16:10:45,"0,003",0,0,0,0,"0,32","15,86","5,15",0,0,RAMPA
18630,2025-12-12 16:10:46,"0,002",0,0,0,0,0,"15,86",0,0,0,RAMPA
19601,2025-12-12 16:10:47,"0,002",0,0,0,0,0,"15,86",0,0,0,RAMPA
20571,2025-12-12 16:10:48,"0,002",0,0,0,0,0,"15,86",0,0,1,RAMPA
21542,2025-12-12 16:10:49,"0,002",0,0,0,0,0,"15,86",0,0,1,RAMPA
22512,2025-12-12 16:10:50,"0,002",0,0,0,0,0,"15,86",0,0,2,RAMPA
23580,2025-12-12 16:10:51,"0,003",0,0,0,0,0,"15,86",0,0,2,RAMPA
24551,2025-12-12 16:10:52,"0,002",0,0,0,0,0,"15,86",0,0,2,RAMPA
25521,2025-12-12 16:10:53,"0,003",0,0,0,0,0,"15,87",0,0,3,RAMPA
26492,2025-12-12 16:10:54,"0,003",0,0,0,0,0,"15,86",0,0,3,RAMPA
27463,2025-12-12 16:10:55,"0,003","0,001",0,0,0,0,"15,86",0,0,4,RAMPA
28433,2025-12-12 16:10:56,"0,004",0,0,0,0,0,"15,86",0,0,4,RAMPA
29404,2025-12-12 16:10:57,"0,003",0,0,0,0,0,"15,86",0,0,4,RAMPA
30375,2025-12-12 16:10:57,"0,004",0,0,0,0,0,"15,86",0,0,5,RAMPA
31443,2025-12-12 16:10:59,"0,004",0,0,0,0,0,"15,86",0,0,5,RAMPA
32413,2025-12-12 16:11:00,"0,003",0,0,0,0,0,"15,86",0,0,6,RAMPA
33384,2025-12-12 16:11:00,"0,004",0,0,0,0,0,"15,86",0,0,6,RAMPA
34355,2025-12-12 16:11:01,"0,003",0,0,0,0,0,"15,86",0,0,6,RAMPA
35325,2025-12-12 16:11:02,"0,004",0,0,0,0,0,"15,86",0,0,7,RAMPA
36295,2025-12-12 16:11:03,"0,052","0,049","1,12","1,09","1,1","0,42","15,85","6,64","1122,2",7,RAMPA
37265,2025-12-12 16:11:04,"-0,017","0,055","1,28","1,22","1,27","0,53","15,86","8,37","1360,8",8,RAMPA
38332,2025-12-12 16:11:05,"-0,005","0,041","1,46","1,43","1,45","0,96","15,86","15,18","1192,9",8,RAMPA
39302,2025-12-12 16:11:06,"-0,004","0,04","1,54","1,55","1,57","0,93","15,85","14,81","1179,7",8,RAMPA
40273,2025-12-12 16:11:07,"-0,003","0,041","1,59","1,61","1,63","0,32","15,85",5,"1209,4",9,RAMPA
41243,2025-12-12 16:11:08,0,"0,044","1,76","1,74","1,8","1,13","15,85","17,9","1245,9",9,RAMPA
