Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10824,2025-12-12 10:30:07,"0,001","0,001",0,0,0,0,"16,46",0,0,0,STOP
11794,2025-12-12 10:30:08,"0,001","0,001",0,0,0,0,"16,46",0,0,0,STOP
12765,2025-12-12 10:30:09,"0,001","0,001",0,0,0,0,"16,46",0,0,0,STOP
13736,2025-12-12 10:30:10,"0,002","0,001",0,0,0,0,"16,46",0,0,0,STOP
14707,2025-12-12 10:30:11,"0,002","0,001",0,0,0,0,"16,46",0,0,0,STOP
15678,2025-12-12 10:30:12,"0,003","0,001",0,0,0,0,"16,46",0,0,0,STOP
16649,2025-12-12 10:30:13,"0,001","0,001",0,0,0,0,"16,46",0,0,0,STOP
17619,2025-12-12 10:30:14,"0,003","0,001",0,0,0,0,"16,46",0,0,0,STOP
18590,2025-12-12 10:30:15,"0,001","0,001",0,0,0,0,"16,46",0,0,0,STOP
19561,2025-12-12 10:30:16,"0,002",0,0,0,0,"-0,31","16,46",0,0,0,STOP
20532,2025-12-12 10:30:17,"0,003","0,001",0,0,0,"-0,6","16,46",0,0,0,STOP
21503,2025-12-12 10:30:18,"0,003","0,002",0,0,0,"-0,61","16,46",0,0,0,STOP
22473,2025-12-12 10:30:19,"0,001","0,004",0,0,0,"-0,69","16,46",0,0,0,CALC_DEG
23443,2025-12-12 10:30:20,0,"0,002",0,0,0,"-0,63","16,46",0,0,0,RAMPA
24414,2025-12-12 10:30:21,"0,002","0,003",0,0,0,"-0,65","16,46",0,0,0,RAMPA
25384,2025-12-12 10:30:22,"0,001","0,002",0,0,0,"-0,63","16,46",0,0,0,RAMPA
26354,2025-12-12 10:30:23,0,"0,001",0,0,0,"-0,63","16,46",0,0,1,RAMPA
27325,2025-12-12 10:30:24,"0,002","0,001",0,0,0,"-0,68","16,46",0,0,1,RAMPA
28296,2025-12-12 10:30:25,"0,003","0,001",0,0,0,"-0,7","16,46",0,0,2,RAMPA
29267,2025-12-12 10:30:26,"0,002","0,001",0,0,0,"-0,7","16,46",0,0,2,RAMPA
30238,2025-12-12 10:30:27,"0,001",0,0,0,0,"-0,69","16,46",0,0,2,RAMPA
31209,2025-12-12 10:30:28,"0,002","0,001",0,0,0,"-0,71","16,46",0,0,3,RAMPA
32180,2025-12-12 10:30:29,"0,002","0,001",0,0,0,"-0,71","16,46",0,0,3,RAMPA
33151,2025-12-12 10:30:30,"0,002","0,001",0,0,0,"-0,72","16,46",0,0,4,RAMPA
34122,2025-12-12 10:30:31,"-0,002","0,002","20,41","18,65","20,5","6,38","16,32","104,08","185,4",4,RAMPA
35093,2025-12-12 10:30:32,"0,062","0,053",0,0,0,"-0,8","16,45",0,"1240,3",4,RAMPA
36064,2025-12-12 10:30:32,"0,005","0,009",0,0,0,"-0,81","16,45",0,"595,9",5,RAMPA
37035,2025-12-12 10:30:33,"-0,003","0,003",0,0,0,"-0,79","16,45",0,"291,3",5,RAMPA
38006,2025-12-12 10:30:34,"-0,002","0,001",0,0,0,"-0,8","16,45",0,"132,4",6,RAMPA
38978,2025-12-12 10:30:35,0,"0,001",0,0,0,"-0,82","16,46",0,"35,3",6,RAMPA
39948,2025-12-12 10:30:36,0,"0,003",0,0,0,"-0,82","16,46",0,"4,4",6,RAMPA
40919,2025-12-12 10:30:37,0,"0,002",0,0,0,"-0,81","16,46",0,0,7,RAMPA
41890,2025-12-12 10:30:38,0,"0,007","19,02","16,68","19,43","5,76","16,34","94,06","238,3",7,RAMPA
42861,2025-12-12 10:30:39,"0,045","0,056","2,09","1,96","2,02","-0,37","16,43",0,"1341,8",8,RAMPA
43831,2025-12-12 10:30:40,"-0,005","0,032","2,38","2,19","2,26","-0,31","16,43",0,"1051,5",8,RAMPA
44802,2025-12-12 10:30:41,"0,005","0,029","2,52","2,38","2,41",0,"16,43",0,"1028,4",8,RAMPA
45773,2025-12-12 10:30:42,"0,006","0,031","2,62","2,47","2,47",0,"16,43",0,"1054,9",9,RAMPA
46744,2025-12-12 10:30:43,"0,008","0,033","2,74","2,64","2,62",0,"16,42",0,"1103,4",9,RAMPA
47714,2025-12-12 10:30:44,"0,009","0,038","2,87","2,71","2,69",0,"16,43",0,1162,10,RAMPA
48685,2025-12-12 10:30:45,"0,011","0,038","2,93","2,71","2,66",0,"16,43",0,"1182,9",10,PATAMAR_5S
49656,2025-12-12 10:30:46,"0,012","0,039","2,89","2,68","2,71",0,"16,43",0,"1191,7",10,PATAMAR_5S
50627,2025-12-12 10:30:47,"0,014","0,038","2,9","2,7","2,68",0,"16,43",0,"1191,7",10,PATAMAR_5S
51597,2025-12-12 10:30:48,"0,014","0,039","2,86","2,72","2,71",0,"16,43",0,"1192,9",10,CALC_DEG
52568,2025-12-12 10:30:49,"0,013","0,038","2,87","2,7","2,7",0,"16,43",0,"1191,7",10,RAMPA
