Millis,Data,Torque(Nm),Thrust(Kg) -1,Thrust (Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%),Estado_Motor
10238,2025-12-18 16:03:57,"0,003","-0,001","-0,003",0,0,0,0,"16,66",0,"17,7",0,STOP
11302,2025-12-18 16:03:58,"0,001","-0,001","-0,003",0,0,0,0,"16,66",0,0,0,STOP
12269,2025-12-18 16:03:59,"0,002","-0,001","-0,003",0,0,0,0,"16,66",0,0,0,STOP
13237,2025-12-18 16:04:00,"0,007","-0,001","-0,003",0,0,0,0,"16,66",0,0,0,STOP
14204,2025-12-18 16:04:01,"0,007","-0,001","-0,003",0,0,0,0,"16,66",0,0,0,STOP
15172,2025-12-18 16:04:02,"0,005","-0,001","-0,003",0,0,0,0,"16,67",0,0,0,STOP
16139,2025-12-18 16:04:03,"0,006","-0,002","-0,007",0,0,0,0,"16,66",0,"26,6",0,STOP
17203,2025-12-18 16:04:04,"-0,002",0,"0,000",0,0,0,0,"16,67",0,"229,6",0,STOP
18170,2025-12-18 16:04:05,"0,001","-0,002","-0,007",0,0,0,0,"16,66",0,"22,2",0,CALC_DEG
19137,2025-12-18 16:04:06,"0,001","-0,001","-0,003",0,0,0,0,"16,67",0,"8,9",0,RAMPA
20104,2025-12-18 16:04:07,"0,002","-0,001","-0,003",0,0,0,0,"16,67",0,0,1,RAMPA
21071,2025-12-18 16:04:08,"0,004","-0,001","-0,003",0,0,0,0,"16,67",0,0,2,RAMPA
22038,2025-12-18 16:04:09,"0,003","-0,001","-0,003",0,0,0,0,"16,66",0,0,3,RAMPA
23005,2025-12-18 16:04:10,"0,003","-0,001","-0,003",0,0,0,0,"16,67",0,0,4,RAMPA
24069,2025-12-18 16:04:11,"0,001","-0,001","-0,003",0,0,0,0,"16,67",0,0,5,RAMPA
25036,2025-12-18 16:04:12,"0,021","-0,008","-0,026","0,56","0,51","0,53",0,"16,67",0,"159,6",6,RAMPA
26003,2025-12-18 16:04:13,"0,018","-0,01","-0,033","1,18","1,01","1,16",0,"16,67",0,"425,5",7,RAMPA
26970,2025-12-18 16:04:14,"0,199","-0,043","-0,142","1,45","1,24","1,38",0,"16,66",0,"664,8",8,RAMPA
27937,2025-12-18 16:04:15,"0,245","-0,052","-0,172","1,57","1,4","1,57",0,"16,66",0,"744,6",9,RAMPA
28904,2025-12-18 16:04:16,"0,235","-0,099","-0,327","1,83","1,53","1,78","0,31","16,66","5,22","811,1",10,RAMPA
29872,2025-12-18 16:04:17,"0,289","-0,065","-0,215","1,81","1,51","1,78","0,33","16,66","5,46","814,6",10,PATAMAR_5S
30840,2025-12-18 16:04:18,"0,268","-0,065","-0,215","1,83","1,53","1,8","0,42","16,66","7,03","801,4",10,PATAMAR_5S
31807,2025-12-18 16:04:19,"0,314","-0,032","-0,106","1,79","1,53","1,78","0,34","16,66","5,6","828,8",10,PATAMAR_5S
32776,2025-12-18 16:04:20,"0,293","-0,065","-0,215","1,85","1,55","1,77","0,35","16,66","5,77","893,4",10,CALC_DEG
33744,2025-12-18 16:04:21,"0,303","-0,065","-0,215","1,84","1,54","1,73","0,37","16,66","6,21","894,3",10,RAMPA
34809,2025-12-18 16:04:22,"0,303","-0,072","-0,238","1,98","1,7","1,92","0,52","16,66","8,62","937,6",11,RAMPA
35777,2025-12-18 16:04:23,"0,345","-0,083","-0,274","2,34","2,08","2,29","0,67","16,65","11,08",974,12,RAMPA
36745,2025-12-18 16:04:24,"0,422","-0,111","-0,367","2,48","2,3","2,42","0,78","16,65","12,98","1080,3",13,RAMPA
37713,2025-12-18 16:04:24,"0,436","-0,12","-0,396","2,58","2,33","2,53","0,86","16,66","14,25","1133,4",14,RAMPA
38682,2025-12-18 16:04:25,"0,472","-0,127","-0,420","2,79","2,63","2,69","0,9","16,65","15,05","1207,4",15,RAMPA
39747,2025-12-18 16:04:27,"0,506","-0,143","-0,472","2,88","2,87","2,99","0,65","16,65","10,89","1307,8",16,RAMPA
40715,2025-12-18 16:04:28,"0,558","-0,156","-0,515","3,19","3,16","3,22","0,89","16,65","14,75","1279,5",17,RAMPA
41683,2025-12-18 16:04:28,"0,588","-0,167","-0,552","3,47","3,35","3,36","1,06","16,64","17,6","1407,9",18,RAMPA
42651,2025-12-18 16:04:29,"0,616","-0,184","-0,608","3,77","3,55","3,74","1,23","16,64","20,51","1505,3",19,RAMPA
43620,2025-12-18 16:04:30,"0,673","-0,196","-0,648","3,86","3,72","3,97","1,38","16,64","23,01","1525,9",20,RAMPA
44588,2025-12-18 16:04:31,"0,687","-0,195","-0,644","3,96","3,78","4,07","1,47","16,63","24,47","1571,7",20,PATAMAR_5S
45653,2025-12-18 16:04:32,"0,669","-0,196","-0,648","4,03","3,79","4,08","1,46","16,63","24,22","1468,8",20,PATAMAR_5S
46621,2025-12-18 16:04:33,"0,667","-0,195","-0,644","4,06","3,83","4,11","1,53","16,63","25,38","1496,5",20,CALC_DEG
47589,2025-12-18 16:04:34,"0,698","-0,194","-0,641","3,91","3,69","4,02","1,54","16,64","25,57",1492,20,RAMPA
48557,2025-12-18 16:04:35,"0,695","-0,215","-0,710","4,4","4,14","4,44","1,9","16,63","31,66","1593,9",21,RAMPA
49525,2025-12-18 16:04:36,"0,793","-0,223","-0,737","4,57","4,33","4,62","2,04","16,63","34,01","1633,7",22,RAMPA
50589,2025-12-18 16:04:37,"0,774","-0,227","-0,750","4,69","4,5","4,74","2,19","16,62","36,31","1748,1",23,RAMPA
51556,2025-12-18 16:04:38,"0,785","-0,24","-0,793","4,83","4,76",5,"1,86","16,61","30,87","1737,3",24,RAMPA
52524,2025-12-18 16:04:39,"0,894","-0,256","-0,846","5,18","5,21","5,28","2,07","16,62","34,34","1788,7",25,RAMPA
53491,2025-12-18 16:04:40,"0,957","-0,264","-0,872","5,37","5,26","5,49","2,31","16,61","38,37","1786,1",26,RAMPA
54459,2025-12-18 16:04:41,"0,968","-0,272","-0,899","5,58","5,38","5,73","2,59","16,6","42,92","1841,8",27,RAMPA
55622,2025-12-18 16:04:42,"1,028","-0,275","-0,908","5,52","5,55","5,77","2,68","16,6","44,57",1890,28,RAMPA
56589,2025-12-18 16:04:43,"1,019","-0,301","-0,994","6,41","6,52","6,65","3,36","16,59","55,71","1950,1",29,RAMPA
57556,2025-12-18 16:04:44,"1,144","-0,308","-1,018","6,46","6,63","6,76","3,5","16,57","57,99","2029,8",30,RAMPA
58524,2025-12-18 16:04:45,"1,18","-0,308","-1,018","6,52","6,71","6,88","2,71","16,58","44,93","2151,7",30,PATAMAR_5S
59491,2025-12-18 16:04:46,"1,159","-0,311","-1,027","6,42","6,66","6,74","2,65","16,58","43,95","1954,5",30,PATAMAR_5S
60459,2025-12-18 16:04:47,"1,085","-0,325","-1,074","6,45","6,6","6,74","2,67","16,58","44,29",2041,30,PATAMAR_5S
61426,2025-12-18 16:04:48,"1,125","-0,312","-1,031","6,39","6,56","6,66","2,72","16,58","45,05","1932,3",30,CALC_DEG
62394,2025-12-18 16:04:49,"1,12","-0,319","-1,054","6,42","6,61","6,8","2,78","16,57","45,99","2018,9",30,RAMPA
63361,2025-12-18 16:04:50,"1,135","-0,33","-1,090","6,63","6,91","6,94","2,96","16,56","49,08","2091,9",31,RAMPA
64328,2025-12-18 16:04:51,"1,208","-0,339","-1,120","6,64","6,95","7,08","3,1","16,56","51,4","2096,3",32,RAMPA
65296,2025-12-18 16:04:52,"1,286","-0,356","-1,176","7,3","7,51","7,59","3,63","16,55","60,03",2165,33,RAMPA
66263,2025-12-18 16:04:53,"1,356","-0,367","-1,212","7,52","7,72","7,91","4,07","16,56","67,46","2224,8",34,RAMPA
67328,2025-12-18 16:04:54,"1,478","-0,381","-1,259","7,68","7,79","8,19","4,55","16,54","75,28","2265,6",35,RAMPA
68295,2025-12-18 16:04:55,"1,44","-0,379","-1,252","7,91","8,09","8,19","4,82","16,54","79,65","2357,8",36,RAMPA
69262,2025-12-18 16:04:56,"1,442","-0,39","-1,288","8,55","8,68","8,91","5,09","16,53","84,06","2331,2",37,RAMPA
70230,2025-12-18 16:04:57,"1,516","-0,408","-1,348","8,67","8,73","9,03","5,46","16,51","90,18","2426,2",38,RAMPA
71197,2025-12-18 16:04:58,"1,552","-0,426","-1,407","8,94","9,13","9,27","5,95","16,51","98,29","2530,7",39,RAMPA
72261,2025-12-18 16:04:59,"1,618","-0,437","-1,444","9,29","9,38","9,62","4,91","16,5","80,99","2670,5",40,RAMPA
73229,2025-12-18 16:05:00,"1,778","-0,437","-1,444","9,26","9,4","9,56","4,93","16,5","81,31","2647,6",40,PATAMAR_5S
74196,2025-12-18 16:05:01,"1,723","-0,437","-1,444","9,35","9,42","9,58","4,9","16,5","80,8","2601,6",40,PATAMAR_5S
75163,2025-12-18 16:05:02,"1,671","-0,438","-1,447","9,31","9,38","9,62","4,9","16,5","80,91","2490,8",40,PATAMAR_5S
76131,2025-12-18 16:05:03,"1,568","-0,433","-1,430","9,18","9,32","9,59","4,92","16,49","81,09","2479,3",40,CALC_DEG
77098,2025-12-18 16:05:04,"1,556","-0,434","-1,434","9,29","9,36","9,6","4,85","16,5","80,08","2424,3",40,RAMPA
78163,2025-12-18 16:05:05,"1,694","-0,436","-1,440","9,51","9,64","9,83","5,22","16,48",86,2507,41,RAMPA
79131,2025-12-18 16:05:06,"1,689","-0,467","-1,543","9,86","9,91","10,23","5,61","16,47","92,33","2727,3",42,RAMPA
80099,2025-12-18 16:05:07,"1,762","-0,472","-1,559","10,18","10,26","10,51","5,86","16,47","96,58","2634,3",43,RAMPA
81067,2025-12-18 16:05:08,"1,855","-0,482","-1,592","10,39","10,53","10,63","6,11","16,46","100,6","2634,3",44,RAMPA
82035,2025-12-18 16:05:09,"1,897","-0,491","-1,622","10,59","10,76","11,03","6,47","16,45","106,5","2767,1",45,RAMPA
83003,2025-12-18 16:05:10,"1,914","-0,509","-1,682","10,98","11,48","11,33","6,9","16,43","113,33","2700,7",46,RAMPA
83970,2025-12-18 16:05:11,"2,127","-0,519","-1,715","11,33","11,46","11,73","7,26","16,43","119,28","2880,8",47,RAMPA
85035,2025-12-18 16:05:12,"1,961","-0,536","-1,771","11,74","11,77","12,01","7,51","16,42","123,23","2816,9",48,RAMPA
86002,2025-12-18 16:05:13,"2,015","-0,568","-1,876","11,93","12,01","12,34","7,93","16,41","130,13","2867,5",49,RAMPA
86970,2025-12-18 16:05:14,"2,092","-0,612","-2,022","12,42","12,54","12,8","8,47","16,39","138,77","3050,5",50,RAMPA
87938,2025-12-18 16:05:15,"2,181","-0,627","-2,071","12,42","12,54","12,76","8,56","16,39","140,25","2953,1",50,PATAMAR_5S
88905,2025-12-18 16:05:16,"2,224","-0,626","-2,068","12,39","12,52","12,77","8,5","16,39","139,34","2876,3",50,PATAMAR_5S
89970,2025-12-18 16:05:17,"2,192","-0,634","-2,094","12,48","12,57","12,68","8,52","16,38","139,58","2881,3",50,PATAMAR_5S
90937,2025-12-18 16:05:18,"2,105","-0,63","-2,081","12,43","12,57","12,69","8,57","16,38","140,38","3044,8",50,CALC_DEG
91905,2025-12-18 16:05:19,"2,14","-0,623","-2,058","12,43","12,54","12,7","8,56","16,36","140,03","2891,1",50,RAMPA
92873,2025-12-18 16:05:20,"2,143","-0,64","-2,114","12,6","12,8","12,98","8,83","16,37","144,55","2851,2",51,RAMPA
93840,2025-12-18 16:05:21,"2,318","-0,645","-2,131","12,93","12,97","13,19","9,05","16,36","148,06","2951,7",52,RAMPA
94808,2025-12-18 16:05:22,"2,299","-0,643","-2,124","13,18","13,23","13,33","9,39","16,34","153,51","2984,1",53,RAMPA
95872,2025-12-18 16:05:23,"2,286","-0,68","-2,246","13,61","13,64","13,79","9,96","16,32","162,56","2892,1",54,RAMPA
96840,2025-12-18 16:05:24,"2,358","-0,699","-2,309","13,91","13,82","14,11","10,37","16,32","169,16","2961,9",55,RAMPA
97807,2025-12-18 16:05:25,"2,469","-0,72","-2,379","14,17","14,16","14,46","10,85","16,3","176,73","2929,5",56,RAMPA
99065,2025-12-18 16:05:26,"2,418","-0,745","-2,461","14,4","14,47","14,71","11,23","16,28","182,86","2902,6",57,RAMPA
100033,2025-12-18 16:05:27,"2,507","-0,768","-2,537","14,98","15,03","15,22","11,93","16,27","194,19","2922,1",58,RAMPA
101000,2025-12-18 16:05:28,"2,623","-0,794","-2,623","15,18","15,27","15,4","12,38","16,26","201,29","2907,4",59,RAMPA
102065,2025-12-18 16:05:29,"2,665","-0,805","-2,659","15,36","15,38","15,54","12,6","16,25","204,76","2861,2",60,RAMPA
103129,2025-12-18 16:05:30,"2,783","-0,807","-2,666","15,41","15,41","15,52","12,74","16,24","206,96","2908,2",60,PATAMAR_5S
104193,2025-12-18 16:05:31,"2,616","-0,81","-2,676","15,27","15,27","15,47","12,7","16,24","206,37","2960,5",60,PATAMAR_5S
105258,2025-12-18 16:05:32,"2,719","-0,803","-2,653","15,36","15,38","15,53","13,67","16,24","221,89",2841,60,CALC_DEG
106322,2025-12-18 16:05:33,"2,702","-0,806","-2,663","15,23","15,23","15,45","13,56","16,24","220,18","2892,1",60,RAMPA
107386,2025-12-18 16:05:34,"2,71","-0,818","-2,702","15,55","15,67","15,82","12,59","16,2","203,98","2896,1",61,RAMPA
108450,2025-12-18 16:05:35,"2,728","-0,838","-2,768","15,95","15,94","16,1","13,12","16,2","212,41","2859,8",62,RAMPA
109515,2025-12-18 16:05:36,"2,805","-0,847","-2,798","16,33","16,31","16,39","13,43","16,18","217,41","2977,9",63,RAMPA
110579,2025-12-18 16:05:37,"2,855","-0,864","-2,854","16,45","16,51","16,58","13,76","16,18","222,63","2976,6",64,RAMPA
111643,2025-12-18 16:05:38,"2,959","-0,857","-2,831","16,83","16,88","17,04","14,39","16,15","232,49","2916,2",65,RAMPA
112611,2025-12-18 16:05:39,"2,901","-0,887","-2,930","17,07","17,06","17,44","14,91","16,14","240,62","2864,5",66,RAMPA
113578,2025-12-18 16:05:40,"2,966","-0,915","-3,023","17,35","17,63","17,69","15,41","16,12","248,31","2894,1",67,RAMPA
114546,2025-12-18 16:05:41,"3,074","-0,939","-3,102","17,71","17,81","17,92","15,8","16,11","254,46","2886,7",68,RAMPA
115514,2025-12-18 16:05:42,"3,047","-0,951","-3,142","17,86","18,01","18,18","16,26","16,09","261,54","2944,2",69,RAMPA
116578,2025-12-18 16:05:43,"3,058","-0,974","-3,218","18,07","18,16","18,33","16,55","16,08","266,07","2952,5",70,RAMPA
117545,2025-12-18 16:05:44,"3,126","-0,971","-3,208","18,02","18,15","18,27","16,54","16,08","265,82","2978,3",70,PATAMAR_5S
118513,2025-12-18 16:05:45,"3,079","-1,003","-3,313","17,97","18,11","18,27","16,81","16,07","270,07","2944,2",70,PATAMAR_5S
119480,2025-12-18 16:05:46,"3,17",-1,"-3,304","17,99","18,17","18,25","16,89","16,04","271,01","2947,3",70,PATAMAR_5S
120448,2025-12-18 16:05:47,"3,007","-0,993","-3,280","18,01","18,13","18,27","16,84","16,06","270,31","2922,1",70,CALC_DEG
121512,2025-12-18 16:05:48,"3,01","-0,995","-3,287","18,03","18,17","18,23","16,74","16,04","268,46","2928,3",70,RAMPA
122480,2025-12-18 16:05:49,"3,109","-0,998","-3,297","18,25","18,41","18,54","17,41","16,03","279,04","2948,6",71,RAMPA
123447,2025-12-18 16:05:50,"3,081","-1,01","-3,337","18,48","18,58","18,67","17,44","16,02","279,33",2934,72,RAMPA
124415,2025-12-18 16:05:51,"3,155","-1,027","-3,393","18,85","18,87","19,06","18,11",16,"289,83","2957,5",73,RAMPA
125382,2025-12-18 16:05:52,"3,166","-1,045","-3,452","19,06","19,17","19,34","19,25","15,98","307,59",2996,74,RAMPA
126350,2025-12-18 16:05:53,"3,308","-1,084","-3,581","19,58","19,77","19,83","19,43","15,97","310,24","2988,5",75,RAMPA
127414,2025-12-18 16:05:54,"3,306","-1,112","-3,674","19,75","19,93","20,02","19,89","15,94","317,1","3000,8",76,RAMPA
128382,2025-12-18 16:05:55,"3,319","-1,141","-3,769","19,93","20,08","20,25","20,32","15,93","323,7","3023,9",77,RAMPA
129349,2025-12-18 16:05:56,"3,433","-1,142","-3,773","20,26","20,48","20,56","20,94","15,93","333,47","3018,2",78,RAMPA
130316,2025-12-18 16:05:57,"3,383","-1,141","-3,769","20,21","20,32","20,46","21,59","15,9","343,27","3022,6",79,RAMPA
131284,2025-12-18 16:05:58,"3,319","-1,188","-3,925","21,08","21,18","21,39","23,42","15,86","371,5","3059,3",80,RAMPA
132348,2025-12-18 16:05:59,"3,54","-1,205","-3,981","21,06","21,21","21,13","22,89","15,86","362,87","3073,3",80,PATAMAR_5S
133315,2025-12-18 16:06:00,"3,436","-1,21","-3,997","20,85","21,04","21,26","23,17","15,85","367,26","3062,5",80,PATAMAR_5S
134283,2025-12-18 16:06:01,"3,542","-1,244","-4,110","21,14","21,21","21,03","22,54","15,84","357,06","3063,8",80,CALC_DEG
135250,2025-12-18 16:06:02,"3,647","-1,248","-4,123","20,46","20,76","21,3","23,46","15,86","372,02","3062,5",80,RAMPA
136217,2025-12-18 16:06:03,"3,578","-1,193","-3,941","19,98","20,11","20,19","21,1","15,86","334,62","3013,7",79,RAMPA
137185,2025-12-18 16:06:04,"3,4","-1,201","-3,968","19,91","19,99","20,21","21,11","15,85","334,67","2997,3",78,RAMPA
138249,2025-12-18 16:06:05,"3,406","-1,18","-3,898","19,59","19,7","19,81","20,65","15,86","327,56","2980,7",77,RAMPA
139217,2025-12-18 16:06:06,"3,291","-1,173","-3,875","19,35","19,45","19,54","20,18","15,87","320,22","2975,2",76,RAMPA
140184,2025-12-18 16:06:07,"3,352","-1,162","-3,839","19,21","19,26","19,44","19,66","15,87","312,02","2982,7",75,RAMPA
141442,2025-12-18 16:06:08,"3,326","-1,126","-3,720","18,73","18,8","18,75","18,63","15,89","295,92","2950,3",74,RAMPA
142409,2025-12-18 16:06:09,"3,167","-1,121","-3,703","18,33","18,38","18,63","18,15","15,9","288,55","2925,1",73,RAMPA
143377,2025-12-18 16:06:10,"3,145","-1,118","-3,693","18,07","18,1","18,16","17,52","15,91","278,78","2975,2",72,RAMPA
144344,2025-12-18 16:06:11,"3,096","-1,128","-3,726","17,92","17,9","18,05","17,26","15,91","274,65","2960,6",71,RAMPA
145312,2025-12-18 16:06:12,"3,132","-1,091","-3,604","17,45","17,51","17,6","16,64","15,92","264,94","2891,1",70,RAMPA
146279,2025-12-18 16:06:13,"2,981","-1,107","-3,657","17,52","17,7","17,6","16,6","15,92","264,25","2876,3",70,PATAMAR_5S
147343,2025-12-18 16:06:14,"3,031","-1,118","-3,693","17,44","17,6","17,65","16,61","15,91","264,28","2900,1",70,PATAMAR_5S
148311,2025-12-18 16:06:15,"3,025","-1,102","-3,641","17,51","17,53","17,78","16,63","15,92","264,65","2913,2",70,CALC_DEG
149278,2025-12-18 16:06:16,"3,06","-1,106","-3,654","17,5","17,62","17,6","16,72","15,91","266,03","2907,4",70,RAMPA
150246,2025-12-18 16:06:17,"2,974","-1,098","-3,627","17,16","17,19","17,45","16,23","15,92","258,37","2895,5",69,RAMPA
151213,2025-12-18 16:06:18,"2,97","-1,08","-3,568","16,99","16,97","17,11","15,8","15,92","251,52","2858,6",68,RAMPA
152181,2025-12-18 16:06:19,"2,895","-1,08","-3,568","16,82","16,88","16,99","15,61","15,93","248,62","2829,1",67,RAMPA
153148,2025-12-18 16:06:20,"2,884","-1,051","-3,472","16,09","16,24","16,3","14,54","15,94","231,81","2854,2",66,RAMPA
154116,2025-12-18 16:06:21,"2,818","-1,045","-3,452","16,29","16,19","16,3","14,64","15,95","233,5","2855,7",65,RAMPA
155084,2025-12-18 16:06:22,"2,824","-1,029","-3,399","15,76","15,76","15,89","13,9","15,96","221,72","2908,8",64,RAMPA
156051,2025-12-18 16:06:23,"2,821","-1,007","-3,327","15,53","15,57","15,61","13,59","15,97","216,97","2809,9",63,RAMPA
157019,2025-12-18 16:06:24,"2,795","-0,987","-3,261","15,12","15,22","15,28","13,04","15,98","208,3","2820,2",62,RAMPA
157986,2025-12-18 16:06:25,"2,614","-0,982","-3,244","14,93","14,95",15,"12,64","15,99","202,12","2920,7",61,RAMPA
158953,2025-12-18 16:06:26,"2,586","-0,984","-3,251","14,68","14,82","14,97","12,23","15,98","195,37","2845,3",60,RAMPA
159921,2025-12-18 16:06:27,"2,543","-0,981","-3,241","14,69","14,64","14,74","12,36",16,"197,64","2899,9",60,PATAMAR_5S
160888,2025-12-18 16:06:28,"2,596","-0,985","-3,254","14,34","14,69","14,89","12,26","15,97","195,79","2871,9",60,PATAMAR_5S
161855,2025-12-18 16:06:29,"2,679","-0,987","-3,261","14,79","14,65","14,77","12,39","15,99","198,12","2840,9",60,PATAMAR_5S
162823,2025-12-18 16:06:30,"2,553","-1,006","-3,323","14,56","15,05","15,23","12,39","15,99","198,14","2855,7",60,CALC_DEG
163790,2025-12-18 16:06:31,"2,63","-0,988","-3,264","14,93","15,09","15,27","12,5","15,98","199,71","2809,9",60,RAMPA
164758,2025-12-18 16:06:32,"2,631","-0,976","-3,224","14,54","14,57","14,78","12,15","15,98","194,19","2930,9",59,RAMPA
165725,2025-12-18 16:06:33,"2,47","-0,957","-3,162","13,96","14,08","14,19","11,37",16,"181,87","2827,6",58,RAMPA
166789,2025-12-18 16:06:34,"2,542","-0,959","-3,168","13,81","13,94","14,04","11,17",16,"178,74","2791,4",57,RAMPA
167757,2025-12-18 16:06:35,"2,354","-0,949","-3,135","13,55","13,51","13,71","10,69","16,02","171,26","2904,4",56,RAMPA
168725,2025-12-18 16:06:36,"2,369","-0,93","-3,072","13,23","13,22","13,37","10,09","16,02","161,73","2988,5",55,RAMPA
169693,2025-12-18 16:06:36,"2,346","-0,912","-3,013","12,72","12,86","12,93","9,58","16,04","153,71","2864,5",54,RAMPA
170661,2025-12-18 16:06:37,"2,161","-0,906","-2,993","12,6","12,59","12,7","8,55","16,04","137,13","2851,2",53,RAMPA
171726,2025-12-18 16:06:39,"2,223","-0,898","-2,967","12,26","12,33","12,56","8,17","16,05","131,12","2792,8",52,RAMPA
172694,2025-12-18 16:06:39,"2,189","-0,871","-2,877","12,08","12,11","12,34",8,"16,06","128,5","2767,1",51,RAMPA
173661,2025-12-18 16:06:40,"2,098","-0,851","-2,811","11,6","11,68","11,84","8,18","16,05","131,24","2814,3",50,RAMPA
