Millis,Data,Torque(Nm),Thrust(Kg),AC1(A),AC2(A),AC3(A),DC_Total(A),Voltage(V),Electrical power(W),RPM,Throttle(%), Motor State
10473,2026-03-12 14:26:36,"0,004",0,0,0,0,0,"16,23",0,"8,7",0,STOP
11540,2026-03-12 14:26:37,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
12606,2026-03-12 14:26:38,"0,002","0,001",0,0,0,"-0,34","16,23",0,0,0,STOP
13576,2026-03-12 14:26:39,"0,003",0,0,0,0,"-0,5","16,23",0,0,0,STOP
14546,2026-03-12 14:26:40,"0,002","0,006",0,0,0,"-0,47","16,23",0,"26,5",0,STOP
15612,2026-03-12 14:26:41,0,0,0,0,0,"-0,37","16,23",0,0,0,STOP
16582,2026-03-12 14:26:42,"0,002",0,0,0,0,0,"16,23",0,0,0,STOP
17552,2026-03-12 14:26:43,"0,004",0,0,0,0,0,"16,23",0,0,0,STOP
18522,2026-03-12 14:26:44,"0,005",0,0,0,0,0,"16,23",0,0,0,STOP
19588,2026-03-12 14:26:45,"0,001",0,0,0,0,0,"16,23",0,0,0,STOP
20558,2026-03-12 14:26:46,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
21528,2026-03-12 14:26:47,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
22497,2026-03-12 14:26:48,"0,004",0,0,0,0,0,"16,23",0,0,0,STOP
23564,2026-03-12 14:26:49,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
24534,2026-03-12 14:26:50,"0,004",0,0,0,0,0,"16,23",0,0,0,STOP
25504,2026-03-12 14:26:51,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
26473,2026-03-12 14:26:52,"0,003",0,0,0,0,0,"16,23",0,0,0,STOP
27540,2026-03-12 14:26:53,"0,004",0,0,0,0,0,"16,23",0,0,0,STOP
28510,2026-03-12 14:26:54,"0,004",0,0,0,0,"0,72","16,23","11,7",0,0,STOP
29480,2026-03-12 14:26:55,"0,003","-0,001",0,0,"3,93",0,"16,23",0,0,0,STOP
30449,2026-03-12 14:26:56,"0,001","-0,002",0,0,0,"0,3","16,23","4,92",0,0,STOP
31516,2026-03-12 14:26:57,"0,001","-0,002","0,3",0,"1,06",0,"16,23",0,0,0,CALC_DEG
32485,2026-03-12 14:26:58,"0,003",0,0,0,0,0,"16,23",0,0,0,RAMPA
33454,2026-03-12 14:26:59,"0,004",0,0,0,0,0,"16,23",0,0,1,RAMPA
34520,2026-03-12 14:27:00,"0,003","-0,001",0,0,0,0,"16,23",0,"12,1",2,RAMPA
35490,2026-03-12 14:27:01,"0,003","-0,005",0,0,0,0,"16,23",0,0,3,RAMPA
36459,2026-03-12 14:27:02,"0,001","-0,004",0,0,0,0,"16,23",0,0,4,RAMPA
37428,2026-03-12 14:27:03,"0,003","-0,004","0,53","0,47","0,47",0,"16,23",0,"8,8",5,RAMPA
38495,2026-03-12 14:27:04,"0,001","0,014","0,7","0,75","0,69",0,"16,23",0,"168,7",6,RAMPA
39465,2026-03-12 14:27:05,"0,011","0,098","1,38","1,56","1,38","0,4","16,22","6,54","521,4",7,RAMPA
40434,2026-03-12 14:27:06,"0,033","0,194","1,54","1,7","1,51","0,44","16,22","7,16","756,3",8,RAMPA
41501,2026-03-12 14:27:07,"0,039","0,243","1,71","1,92","1,71","0,53","16,22","8,57","859,6",9,RAMPA
42470,2026-03-12 14:27:08,"0,038","0,285","2,17","2,34","2,1","0,64","16,22","10,38",889,10,RAMPA
43440,2026-03-12 14:27:09,"0,003","0,294","2,14","2,33","2,1","0,65","16,22","10,56","941,1",10,PATAMAR_5S
44409,2026-03-12 14:27:10,"0,001","0,301","2,16","2,33","2,09","0,53","16,22","8,67","946,5",10,PATAMAR_5S
45476,2026-03-12 14:27:11,"0,003","0,297","2,16","2,32","2,05","0,52","16,21","8,36",956,10,PATAMAR_5S
46445,2026-03-12 14:27:12,"0,005","0,296","2,11","2,29","2,06","0,58","16,21","9,37","924,4",10,CALC_DEG
47414,2026-03-12 14:27:13,"0,005","0,293","2,11","2,28","2,04","0,6","16,21","9,73","911,1",10,RAMPA
48481,2026-03-12 14:27:14,"0,008","0,373","2,33","2,53","2,31","0,73","16,21","11,76","992,1",11,RAMPA
49450,2026-03-12 14:27:15,"0,025","0,415","2,63","2,77","2,54","0,85","16,21","13,71","1074,7",12,RAMPA
50419,2026-03-12 14:27:16,"0,002","0,472","2,85","3,03","2,76","0,71","16,2","11,57","1167,6",13,RAMPA
